"","ring1","ring2","ring3","ring4","ring5","ring6","ring7","ring8","ring9","ring10","ring11","ring12","ring13","ring14","ring15"
"ENSMUSG00000079197",1.66666666666667,1.63779527559055,1.61764705882353,1.57894736842105,1.56862745098039,1.57377049180328,1.43564356435644,1.46153846153846,1.81481481481481,1.75324675324675,1.6969696969697,2.02564102564103,1.27272727272727,1,1.60526315789474
"ENSMUSG00000047098",1.24390243902439,1.11111111111111,1.07142857142857,1.25,1.10714285714286,1.09090909090909,1.04347826086957,1,1.05555555555556,1.09090909090909,1,1.05882352941176,1,0,1.22222222222222
"ENSMUSG00000002325",1.09090909090909,1.03703703703704,1.08571428571429,1,1.16666666666667,1.07142857142857,1,1,1.03703703703704,1.21428571428571,1,1.17241379310345,1,0,1.14285714285714
"ENSMUSG00000002324",1.06666666666667,1.16666666666667,1.125,0,1,1.66666666666667,1,0,1.04761904761905,1.33333333333333,0,1.14285714285714,0,0,0
"ENSMUSG00000002319",1.3302752293578,1.31531531531532,1.3936170212766,1.30555555555556,1.44927536231884,1.38235294117647,1.325,1.81818181818182,1.38392857142857,1.28301886792453,1.20689655172414,1.55652173913043,1.28571428571429,1.5,1.25
"ENSMUSG00000002320",1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
"ENSMUSG00000007591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002329",1.51666666666667,1.52,1.31,1.2962962962963,1.40789473684211,1.4375,1.42708333333333,1.27272727272727,1.4921875,1.61290322580645,1.38709677419355,1.72,1.58333333333333,1,1.46666666666667
"ENSMUSG00000010376",7.03435114503817,7.69747899159664,6.74235807860262,4.25,6.68023255813953,5.11538461538461,7.32291666666667,3.55357142857143,7.96153846153846,6.71532846715328,8,8.91796875,5.03225806451613,2.0625,7.15492957746479
"ENSMUSG00000002326",1.32835820895522,1.22388059701493,1.28767123287671,1.05555555555556,1.06666666666667,1.31034482758621,1.1875,1.1,1.38461538461538,1.03333333333333,1.25,1.18987341772152,1,0,1.1304347826087
"ENSMUSG00000007589",1.10810810810811,1.12244897959184,1,1,1.21428571428571,1.09090909090909,1.14285714285714,1.14285714285714,1.07142857142857,1,1,1.09677419354839,1,0,1
"ENSMUSG00000022218",2.24324324324324,1.07142857142857,2.50306748466258,3.01851851851852,2.848,2.80519480519481,1.04347826086957,3.44827586206897,1.5625,1.45833333333333,1.92307692307692,1.14285714285714,0,2,2.25
"ENSMUSG00000040472",1.30487804878049,1.27272727272727,1.28888888888889,1.25,1.32258064516129,1.33333333333333,1.4,1.54545454545455,1.30555555555556,1.5,1.47058823529412,1.23958333333333,1.25,0,1.04166666666667
"ENSMUSG00000002332",3.4954128440367,2.08982035928144,4.17647058823529,3.78125,4.87741935483871,4.43,1.94117647058824,3.89473684210526,2.68965517241379,2.03061224489796,2.10869565217391,2.19289340101523,1.82352941176471,1.22222222222222,2.48979591836735
"ENSMUSG00000019297",1.06451612903226,1.16666666666667,1.16279069767442,1.0625,1.08108108108108,1.42857142857143,1.09375,1.14285714285714,1.13333333333333,1.23809523809524,1.14285714285714,1.1,0,0,1
"ENSMUSG00000022219",1.07142857142857,1,1,0,1,0,1,0,1,1,0,1.125,0,0,1.25
"ENSMUSG00000040432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046908",0,0,1.33333333333333,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022220",1,1,1.08333333333333,0,1,1,1,1,1.06666666666667,1,1,1,0,0,1
"ENSMUSG00000022221",1,0,1,0,0,0,0,0,1.2,0,0,0,0,0,0
"ENSMUSG00000023411",0,1,0,0,0,0,0,0,1,1.66666666666667,0,0,0,0,0
"ENSMUSG00000075592",1.06666666666667,1.21428571428571,1.08333333333333,0,1,0,1,1,1.04761904761905,1,0,1,0,0,0
"ENSMUSG00000047153",1.13793103448276,1.08,1.08333333333333,1,1,1,1.21428571428571,1,1,1,1,1.17647058823529,1,0,1.1
"ENSMUSG00000022223",1.49655172413793,1.7841726618705,1.568,1.37037037037037,1.55952380952381,1.64285714285714,1.46017699115044,1.41666666666667,1.61963190184049,1.69230769230769,1.8,1.80645161290323,1.77777777777778,0,1.34883720930233
"ENSMUSG00000015437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000365",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"ENSMUSG00000064128",1,1,1,0,1,1,1,0,1.16666666666667,1.33333333333333,0,1,0,0,0
"ENSMUSG00000054509",1,1,1,0,1,1,1,1,1.1,1.125,0,1.14285714285714,0,0,0
"ENSMUSG00000079184",1.2972972972973,1.30508474576271,1.37704918032787,1.45,1.27659574468085,1.23333333333333,1.28,1.33333333333333,1.23529411764706,1.21621621621622,1.26666666666667,1.30769230769231,1.16666666666667,1.5,1.09090909090909
"ENSMUSG00000021938",1.1025641025641,1.12820512820513,1.14285714285714,1,1.08823529411765,1.14285714285714,1.16,1,1.1219512195122,1,1,1.13888888888889,1.4,1,1
"ENSMUSG00000040123",1.2,1.09090909090909,1.15789473684211,1.2,1.29411764705882,1.13636363636364,1.10810810810811,1.2,1.2,1.04761904761905,1.28571428571429,1.12765957446809,1,1,1.1
"ENSMUSG00000021945",1.2089552238806,1.26315789473684,1.2,1.09090909090909,1.35714285714286,1.07407407407407,1.2,1,1.20512820512821,1.25,1.27777777777778,1.32894736842105,1.42857142857143,1.25,1.10526315789474
"ENSMUSG00000046352",1.125,1.08333333333333,1.11111111111111,1,1.22222222222222,1,1.18181818181818,1,1,1.625,1.2,1.45454545454545,1,0,1.5
"ENSMUSG00000089840",1,1,0,0,0,0,1,0,1,0,0,1.25,0,0,0
"ENSMUSG00000040055",1.41176470588235,1.67391304347826,1.27058823529412,1.15384615384615,1.17142857142857,1.13333333333333,1.89075630252101,1.11111111111111,1.37692307692308,1.68888888888889,1.74358974358974,1.65671641791045,1.3,0,1.78
